Date,Open,High,Low,Close,Change,Traded Volume,Turnover,Last Price of the Day,Daily Traded Units,Daily Turnover
2018-09-26,,435.0,424.5,425.5,,48469.0,20728580.0,,,
2018-09-25,,430.0,417.0,429.0,,42790.0,18206268.0,,,
2018-09-24,,427.0,416.0,419.0,,49074.0,20656304.0,,,
2018-09-21,,429.0,416.5,417.5,,147644.0,61783532.0,,,
2018-09-20,,428.0,416.5,422.0,,36211.0,15265314.0,,,
2018-09-19,,431.5,425.5,428.5,,28312.0,12124485.0,,,
2018-09-18,,427.5,420.5,425.0,,30011.0,12747710.0,,,
2018-09-17,,431.0,423.0,423.0,,31866.0,13571535.0,,,
2018-09-14,,437.5,428.0,430.0,,22634.0,9756887.0,,,
2018-09-13,,446.5,433.0,433.0,,21543.0,9414237.0,,,
2018-09-12,,451.0,441.5,446.5,,31313.0,13990396.0,,,
2018-09-11,,445.5,429.0,442.0,,42747.0,18802872.0,,,
2018-09-10,,442.0,427.5,429.5,,51483.0,22197576.0,,,
2018-09-07,,452.0,437.0,440.0,,32471.0,14362115.0,,,
2018-09-06,,446.0,432.0,438.5,,36885.0,16172281.0,,,
2018-09-05,,455.5,438.0,438.0,,40494.0,17977275.0,,,
2018-09-04,,468.5,453.0,455.5,,26835.0,12251794.0,,,
2018-09-03,,471.5,457.5,464.0,,28473.0,13191170.0,,,
2018-08-31,,478.0,470.5,472.0,,42902.0,20303003.0,,,
2018-08-30,,481.0,469.0,476.0,,27913.0,13276732.0,,,
2018-08-29,,475.0,464.5,474.5,,34992.0,16502457.0,,,
2018-08-28,,479.0,471.0,472.5,,32852.0,15594914.0,,,
2018-08-27,,477.5,464.5,472.0,,38791.0,18315363.0,,,
2018-08-24,,469.5,461.0,466.5,,33780.0,15715408.0,,,
2018-08-23,,474.5,454.5,469.0,,43509.0,20372589.0,,,
2018-08-22,,462.5,445.5,457.0,,39920.0,18215009.0,,,
2018-08-21,,457.0,447.0,447.5,,23679.0,10688599.0,,,
2018-08-20,,456.0,443.5,448.0,,23795.0,10678157.0,,,
2018-08-17,,464.0,444.5,451.0,,61630.0,27972777.0,,,
2018-08-16,,460.5,432.0,453.5,,79562.0,35813482.0,,,
2018-08-15,,447.5,427.5,428.5,,63080.0,27538759.0,,,
2018-08-14,,440.0,427.5,432.0,,48314.0,20956953.0,,,
2018-08-13,,431.5,419.0,431.5,,39349.0,16812817.0,,,
2018-08-10,,427.0,417.5,423.5,,31063.0,13106370.0,,,
2018-08-09,,431.0,417.0,430.0,,55754.0,23784470.0,,,
2018-08-08,,419.5,411.5,411.5,,28230.0,11698254.0,,,
2018-08-07,,421.5,415.5,416.0,,39102.0,16353624.0,,,
2018-08-06,,423.5,414.0,417.0,,30089.0,12570111.0,,,
2018-08-03,,418.5,409.5,415.5,,36925.0,15346813.0,,,
2018-08-02,,421.5,410.5,410.5,,54529.0,22536048.0,,,
2018-08-01,,431.0,420.5,424.5,,61855.0,26299586.0,,,
2018-07-31,,432.5,414.0,429.0,,94189.0,40095665.0,,,
2018-07-30,,423.5,417.0,419.5,,61276.0,25739747.0,,,
2018-07-27,,430.5,415.0,422.0,,144547.0,61020844.0,,,
2018-07-26,,470.0,425.0,437.5,,165069.0,73287564.0,,,
2018-07-25,,474.5,466.0,474.5,,45715.0,21532649.0,,,
2018-07-24,,473.5,455.0,470.5,,52976.0,24820202.0,,,
2018-07-23,,461.5,451.5,456.5,,50952.0,23242854.0,,,
2018-07-20,,486.0,459.5,461.5,,61569.0,28814349.0,,,
2018-07-19,,497.5,478.5,481.0,,55146.0,26857758.0,,,
2018-07-18,,507.0,493.5,505.0,,55986.0,28106660.0,,,
2018-07-17,,499.0,476.0,493.0,,53775.0,26187884.0,,,
2018-07-16,,484.0,476.5,478.0,,29804.0,14313299.0,,,
2018-07-13,,487.0,479.5,480.0,,33487.0,16148010.0,,,
2018-07-12,,485.5,476.5,481.0,,45638.0,21956600.0,,,
2018-07-11,,483.5,474.5,475.5,,38742.0,18506616.0,,,
2018-07-10,,492.5,482.5,487.0,,48066.0,23425613.0,,,
2018-07-09,,489.5,480.5,485.0,,32475.0,15747011.0,,,
2018-07-06,,489.0,481.0,484.0,,31956.0,15468191.0,,,
2018-07-05,,495.5,481.5,485.0,,31275.0,15252887.0,,,
2018-07-04,,488.5,476.0,481.0,,35913.0,17242468.0,,,
